Probe	Ensembl
DOCK7_IL2415910	ENSG00000116641
ATG4C_IL2339511	ENSG00000125703
ALG6_IL2339682	ENSG00000088035
ITGB3BP_IL2416218	ENSG00000142856
EFCAB7_IL2339740	ENSG00000203965
PGM1_IL2339786	ENSG00000079739
ROR1_IL2339872	ENSG00000185483
CACHD1_IL2340078	ENSG00000158966
RAVER2_IL2340186	ENSG00000162437
AK4_IL2340315	ENSG00000162433
DNAJC6_IL2340350	ENSG00000116675
LEPR_IL2340433	ENSG00000116678
PDE4B_IL2340529	ENSG00000184588
SGIP1_IL2340695	ENSG00000118473
TCTEX1D1_IL2340819	ENSG00000152760
WDR78_IL2417016	ENSG00000152763
MIER1_IL2340845	ENSG00000198160
SLC35D1_IL2417095	ENSG00000116704
IL23R_IL2340930	ENSG00000162594
IL12RB2_IL2340961	ENSG00000081985
SERBP1_IL2417174	ENSG00000142864
GADD45A_IL2341083	ENSG00000116717
WLS_IL2417390	ENSG00000116729
DEPDC1_IL2417528	ENSG00000024526
LRRC7_IL2341387	ENSG00000033122
LRRC40_IL2417737	ENSG00000066557
SRSF11_IL2341565	ENSG00000116754
ANKRD13C_IL2417791	ENSG00000118454
HHLA3_IL2341645	ENSG00000197568
CTH_IL2341663	ENSG00000116761
PTGER3_IL2417945	ENSG00000050628
ZRANB2_IL2418000	ENSG00000132485
NEGR1_IL2418078	ENSG00000172260
LRRIQ3_IL2418339	ENSG00000162620
FPGT_IL2342176	ENSG00000254685
SLC44A5_IL2418570	ENSG00000137968
ACADM_IL2342576	ENSG00000117054
RABGGTB_IL2342624	ENSG00000137955
MSH4_IL2342665	ENSG00000057468
ST6GALNAC3_IL2342738	ENSG00000184005
PIGK_IL2418929	ENSG00000142892
AK5_IL2343025	ENSG00000154027
ZZZ3_IL2419046	ENSG00000036549
USP33_IL2419113	ENSG00000077254
AIDA_IL2457573	ENSG00000186063
FAM73A_IL2343170	ENSG00000126653
NEXN_IL2343231	ENSG00000162614
FUBP1_IL2419235	ENSG00000162613
DNAJB4_IL2343289	ENSG00000162616
PTGFR_IL2343418	ENSG00000122420
IFI44L_IL2343473	ENSG00000137959
IFI44_IL2343511	ENSG00000137965
TTLL7_IL2420229	ENSG00000137941
PRKACB_IL2344393	ENSG00000142875
RPF1_IL2344542	ENSG00000117133
GNG5_IL2420427	ENSG00000174021
SPATA1_IL2344577	ENSG00000117151
SSX2IP_IL2420521	ENSG00000117155
LPAR3_IL2420615	ENSG00000171517
MCOLN2_IL2420642	ENSG00000153898
WDR63_IL2344731	ENSG00000055732
C1orf52_IL2420790	ENSG00000162642
BCL10_IL2420808	ENSG00000142867
DDAH1_IL2420832	ENSG00000153904
ZNHIT6_IL2420958	ENSG00000117174
COL24A1_IL2421000	ENSG00000171502
ODF2L_IL2421121	ENSG00000122417
SH3GLB1_IL2345128	ENSG00000097033
SEP15_IL2421271	ENSG00000183291
HS2ST1_IL2345196	ENSG00000153936
LMO4_IL2345286	ENSG00000143013
PKN2_IL2345617	ENSG00000065243
GTF2B_IL2421753	ENSG00000137947
CCBL2_IL2421782	ENSG00000213516
GBP3_IL2421843	ENSG00000117226
GBP1_IL2421883	ENSG00000117228
GBP2_IL2421925	ENSG00000162645
GBP4_IL2421995	ENSG00000162654
GBP5_IL2422035	ENSG00000154451
GBP6_IL2345816	ENSG00000183347
LRRC8B_IL2345880	ENSG00000197147
LRRC8C_IL2345929	ENSG00000171488
LRRC8D_IL2346023	ENSG00000171492
ZNF326_IL2346074	ENSG00000162664
ZNF644_IL2422517	ENSG00000122482
CDC7_IL2346399	ENSG00000097046
TGFBR3_IL2422722	ENSG00000069702
EPHX4_IL2346625	ENSG00000172031
GLMN_IL2422885	ENSG00000174842
RPAP2_IL2346738	ENSG00000122484
GFI1_IL2422967	ENSG00000162676
EVI5_IL2423017	ENSG00000067208
FAM69A_IL2423175	ENSG00000154511
MTF2_IL2346934	ENSG00000143033
TMED5_IL2423264	ENSG00000117500
CCDC18_IL2347023	ENSG00000122483
DR1_IL2347096	ENSG00000117505
FNBP1L_IL2347132	ENSG00000137942
BCAR3_IL2423422	ENSG00000137936
DNTTIP2_IL2423597	ENSG00000067334
GCLM_IL2423625	ENSG00000023909
ARHGAP29_IL2423829	ENSG00000137962
ABCD3_IL2347502	ENSG00000117528
SLC44A3_IL2347625	ENSG00000143036
CNN3_IL2424102	ENSG00000117519
ALG14_IL2424148	ENSG00000172339
TMEM56_IL2347732	ENSG00000152078
RWDD3_IL2347788	ENSG00000122481
PTBP2_IL2348060	ENSG00000117569
SEC63_IL2968054	ENSG00000025796
SNX7_IL2348437	ENSG00000162627
AGL_IL2348634	ENSG00000162688
SLC35A3_IL2348702	ENSG00000117620
SASS6_IL2425118	ENSG00000156876
LRRC39_IL2425173	ENSG00000122435
DBT_IL2425212	ENSG00000137992
CDC14A_IL2348896	ENSG00000079335
GPR88_IL2348962	ENSG00000181656
VCAM1_IL2348992	ENSG00000162692
EXTL2_IL2425400	ENSG00000162694
SLC30A7_IL2349043	ENSG00000162695
DPH5_IL2425447	ENSG00000117543
S1PR1_IL2349129	ENSG00000170989
RNPC3_IL2349345	ENSG00000185946
AMY1B_IL2349402	ENSG00000240038
PRMT6_IL2349848	ENSG00000198890
NTNG1_IL2349863	ENSG00000162631
VAV3_IL2426385	ENSG00000134215
SLC25A24_IL2426559	ENSG00000085491
NBPF22P_IL2818884	ENSG00000196427
PRPF38B_IL2350287	ENSG00000134186
STXBP3_IL2350339	ENSG00000116266
CLCC1_IL2426791	ENSG00000121940
WDR47_IL2426840	ENSG00000085433
TAF13_IL4054117	ENSG00000197780
KIAA1324_IL2350489	ENSG00000116299
SARS_IL2350551	ENSG00000031698
CELSR2_IL2350596	ENSG00000143126
PSRC1_IL2426951	ENSG00000134222
SORT1_IL2427007	ENSG00000134243
PSMA5_IL2427074	ENSG00000143106
ATXN7L2_IL2350741	ENSG00000162650
CYB561D1_IL2350787	ENSG00000174151
AMIGO1_IL2427117	ENSG00000181754
GPR61_IL2350818	ENSG00000156097
GNAI3_IL2350840	ENSG00000065135
GNAT2_IL2427169	ENSG00000134183
AMPD2_IL2350880	ENSG00000116337
GSTM3_IL2427208	ENSG00000134202
CSF1_IL2351063	ENSG00000184371
AHCYL1_IL2351121	ENSG00000168710
ALX3_IL2427342	ENSG00000258634
KCNC4_IL2351294	ENSG00000116396
RBM15_IL2351393	ENSG00000162775
SLC16A4_IL2427469	ENSG00000168679
KCNA2_IL2427566	ENSG00000177301
KCNA3_IL2427619	ENSG00000177272
CD53_IL2351572	ENSG00000121931
CEPT1_IL2351632	ENSG00000134255
DENND2D_IL2427791	ENSG00000162777
CHI3L2_IL2351687	ENSG00000064886
OVGP1_IL2427898	ENSG00000085465
WDR77_IL2427930	ENSG00000116455
ATP5F1_IL2351817	ENSG00000116459
C1orf162_IL2351854	ENSG00000143110
ADORA3_IL2427981	ENSG00000121933
RAP1A_IL2351872	ENSG00000116473
DDX20_IL2351940	ENSG00000064703
KCND3_IL2428119	ENSG00000171385
CTTNBP2NL_IL2352106	ENSG00000143079
WNT2B_IL2352169	ENSG00000134245
ST7L_IL2428313	ENSG00000007341
CAPZA1_IL2352228	ENSG00000116489
MOV10_IL2352275	ENSG00000155363
RHOC_IL2428405	ENSG00000155366
PPM1J_IL2428425	ENSG00000155367
SLC16A1_IL2428501	ENSG00000155380
LRIG2_IL2352501	ENSG00000198799
MAGI3_IL2352609	ENSG00000081026
PHTF1_IL2428699	ENSG00000116793
RSBN1_IL2428760	ENSG00000081019
PTPN22_IL2428796	ENSG00000134242
AP4B1_IL2428855	ENSG00000134262
DCLRE1B_IL2352743	ENSG00000118655
HIPK1_IL2352758	ENSG00000163349
OLFML3_IL2352804	ENSG00000116774
TRIM33_IL2429069	ENSG00000197323
DENND2C_IL2429147	ENSG00000175984
NRAS_IL2429261	ENSG00000213281
CSDE1_IL2429277	ENSG00000009307
