Probe	Ensembl	Correlation
ENSG00000170500	ENSG00000170500	1
ENSG00000170579	ENSG00000170579	1
ENSG00000170615	ENSG00000170615	1
ENSG00000170689	ENSG00000170689	1
ENSG00000170786	ENSG00000170786	1
ENSG00000171094	ENSG00000171094	1
ENSG00000171227	ENSG00000171227	1
ENSG00000171401	ENSG00000171401	1
ENSG00000171403	ENSG00000171403	1
ENSG00000171533	ENSG00000171533	1
ENSG00000171658	ENSG00000171658	1
ENSG00000171877	ENSG00000171877	1
ENSG00000172058	ENSG00000172058	1
ENSG00000172179	ENSG00000172179	1
ENSG00000172346	ENSG00000172346	1
ENSG00000172379	ENSG00000172379	1
ENSG00000172403	ENSG00000172403	1
ENSG00000172538	ENSG00000172538	1
ENSG00000172640	ENSG00000172640	1
ENSG00000172738	ENSG00000172738	1
ENSG00000172789	ENSG00000172789	1
ENSG00000172940	ENSG00000172940	1
ENSG00000172971	ENSG00000172971	1
ENSG00000172995	ENSG00000172995	1
ENSG00000173080	ENSG00000173080	1
ENSG00000173156	ENSG00000173156	1
ENSG00000173212	ENSG00000173212	1
ENSG00000173213	ENSG00000173213	1
ENSG00000173267	ENSG00000173267	1
ENSG00000173320	ENSG00000173320	1
ENSG00000173401	ENSG00000173401	1
ENSG00000173678	ENSG00000173678	1
ENSG00000173705	ENSG00000173705	1
ENSG00000173805	ENSG00000173805	1
ENSG00000173862	ENSG00000173862	1
ENSG00000173876	ENSG00000173876	1
ENSG00000173988	ENSG00000173988	1
ENSG00000174358	ENSG00000174358	1
ENSG00000174473	ENSG00000174473	1
ENSG00000174527	ENSG00000174527	1
ENSG00000174567	ENSG00000174567	1
ENSG00000174680	ENSG00000174680	1
ENSG00000174792	ENSG00000174792	1
ENSG00000174804	ENSG00000174804	1
ENSG00000174844	ENSG00000174844	1
ENSG00000174912	ENSG00000174912	1
ENSG00000174950	ENSG00000174950	1
ENSG00000174951	ENSG00000174951	1
ENSG00000175161	ENSG00000175161	1
ENSG00000175170	ENSG00000175170	1
ENSG00000175514	ENSG00000175514	1
ENSG00000175604	ENSG00000175604	1
ENSG00000175779	ENSG00000175779	1
ENSG00000175832	ENSG00000175832	1
ENSG00000176046	ENSG00000176046	1
ENSG00000176387	ENSG00000176387	1
ENSG00000176428	ENSG00000176428	1
ENSG00000176641	ENSG00000176641	1
ENSG00000176761	ENSG00000176761	1
ENSG00000176884	ENSG00000176884	1
ENSG00000176998	ENSG00000176998	1
ENSG00000177173	ENSG00000177173	1
ENSG00000177283	ENSG00000177283	1
ENSG00000177294	ENSG00000177294	1
ENSG00000177338	ENSG00000177338	1
ENSG00000177508	ENSG00000177508	1
ENSG00000177519	ENSG00000177519	1
ENSG00000177586	ENSG00000177586	1
ENSG00000178162	ENSG00000178162	1
ENSG00000178201	ENSG00000178201	1
ENSG00000178342	ENSG00000178342	1
ENSG00000178430	ENSG00000178430	1
ENSG00000178636	ENSG00000178636	1
ENSG00000179038	ENSG00000179038	1
ENSG00000179111	ENSG00000179111	1
ENSG00000179428	ENSG00000179428	1
ENSG00000179455	ENSG00000179455	1
ENSG00000179935	ENSG00000179935	1
ENSG00000180481	ENSG00000180481	1
ENSG00000180610	ENSG00000180610	1
ENSG00000180672	ENSG00000180672	1
ENSG00000180730	ENSG00000180730	1
ENSG00000180999	ENSG00000180999	1
ENSG00000181126	ENSG00000181126	1
ENSG00000181143	ENSG00000181143	1
ENSG00000181215	ENSG00000181215	1
ENSG00000181240	ENSG00000181240	1
ENSG00000181264	ENSG00000181264	1
ENSG00000181649	ENSG00000181649	1
ENSG00000182013	ENSG00000182013	1
ENSG00000182218	ENSG00000182218	1
ENSG00000182368	ENSG00000182368	1
ENSG00000182397	ENSG00000182397	1
ENSG00000182586	ENSG00000182586	1
ENSG00000182747	ENSG00000182747	1
ENSG00000183103	ENSG00000183103	1
ENSG00000183246	ENSG00000183246	1
ENSG00000183317	ENSG00000183317	1
ENSG00000183318	ENSG00000183318	1
ENSG00000183405	ENSG00000183405	1
ENSG00000183439	ENSG00000183439	1
ENSG00000183542	ENSG00000183542	1
ENSG00000183657	ENSG00000183657	1
ENSG00000183729	ENSG00000183729	1
ENSG00000183801	ENSG00000183801	1
ENSG00000183889	ENSG00000183889	1
ENSG00000183914	ENSG00000183914	1
ENSG00000184185	ENSG00000184185	1
ENSG00000184304	ENSG00000184304	1
ENSG00000184350	ENSG00000184350	1
ENSG00000184363	ENSG00000184363	1
ENSG00000184619	ENSG00000184619	1
ENSG00000184669	ENSG00000184669	1
ENSG00000184786	ENSG00000184786	1
ENSG00000184956	ENSG00000184956	1
ENSG00000185031	ENSG00000185031	1
ENSG00000185055	ENSG00000185055	1
ENSG00000185065	ENSG00000185065	1
ENSG00000185155	ENSG00000185155	1
ENSG00000185250	ENSG00000185250	1
ENSG00000185271	ENSG00000185271	1
ENSG00000185483	ENSG00000185483	1
ENSG00000185518	ENSG00000185518	1
ENSG00000185532	ENSG00000185532	1
ENSG00000185559	ENSG00000185559	1
ENSG00000185666	ENSG00000185666	1
ENSG00000185686	ENSG00000185686	1
ENSG00000185689	ENSG00000185689	1
ENSG00000185710	ENSG00000185710	1
ENSG00000185839	ENSG00000185839	1
ENSG00000185899	ENSG00000185899	1
ENSG00000186076	ENSG00000186076	1
ENSG00000186105	ENSG00000186105	1
ENSG00000186487	ENSG00000186487	1
ENSG00000186676	ENSG00000186676	1
ENSG00000186831	ENSG00000186831	1
